P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10)
0.008189647,0.008189602,0.008189604,0.008189617,0.008189603,0.008189664,0.926291871,0.008189604,0.008190668,0.008190118
0.007611878,0.007612324,0.185518988,0.007611887,0.007611886,0.007612099,0.75358348,0.007611917,0.007613103,0.007612439
0.006961597,0.006961758,0.006961597,0.006961654,0.006961623,0.00696165,0.937345131,0.006961596,0.006961595,0.006961799
0.007713226,0.007713253,0.007713225,0.007713225,0.007713286,0.007713317,0.930580774,0.007713246,0.007713224,0.007713224
0.008017509,0.008017506,0.008017508,0.008017508,0.008017525,0.008017737,0.927842185,0.008017508,0.008017507,0.008017508
0.007175942,0.00717674,0.007175915,0.00717591,0.007175931,0.007175947,0.472005344,0.007176047,0.470586244,0.00717598
0.008281382,0.008281549,0.008281382,0.008281381,0.008281379,0.008281481,0.925466642,0.008281444,0.008281955,0.008281407
0.493967965,0.009873438,0.009873473,0.009873372,0.009873346,0.009873602,0.427044598,0.009873357,0.009873452,0.009873395
0.008098882,0.008098824,0.008098828,0.008098828,0.008099137,0.008098824,0.927110196,0.008098827,0.008098826,0.008098827
0.008819925,0.008819923,0.008819925,0.008819925,0.008819924,0.008819927,0.920620678,0.008819925,0.008819924,0.008819924
0.007272569,0.007272565,0.007272568,0.007272578,0.007272567,0.007272646,0.934546706,0.007272666,0.007272567,0.007272567
0.007646181,0.007646178,0.007646181,0.00764618,0.007647829,0.007646582,0.93118233,0.00764618,0.007646179,0.00764618
0.007144156,0.007144154,0.007144155,0.007144155,0.007144155,0.007144154,0.935702605,0.007144155,0.007144155,0.007144156
0.007371498,0.007371496,0.007371498,0.007371498,0.007371497,0.007371501,0.933656519,0.007371497,0.0073715,0.007371497
0.008406901,0.00840702,0.008406901,0.0084069,0.008406933,0.008406898,0.924337724,0.0084069,0.008406899,0.008406924
0.008181406,0.008181404,0.008181406,0.008181406,0.008181405,0.008181404,0.926367354,0.008181405,0.008181405,0.008181405
0.0079195,0.007919498,0.0079195,0.0079195,0.007919499,0.007919519,0.928724465,0.0079195,0.007919518,0.0079195
0.008239185,0.008239119,0.008239123,0.008239123,0.008239121,0.008239129,0.925847796,0.008239122,0.00823916,0.008239122
0.006351603,0.006351105,0.006351033,0.006351046,0.006351055,0.006351102,0.942839795,0.006351165,0.006351061,0.006351034
0.007516029,0.007516027,0.007516029,0.007516029,0.007516332,0.007516027,0.932355442,0.00751603,0.007516028,0.007516028
0.007813452,0.007813598,0.497093629,0.00781344,0.007813462,0.007813679,0.440398408,0.00781344,0.007813443,0.007813448
0.007378854,0.007378852,0.007378854,0.007378855,0.007378857,0.007379207,0.93358996,0.007378853,0.007378854,0.007378853
0.008689335,0.008689332,0.008689335,0.008689334,0.008689333,0.008689405,0.921795868,0.008689334,0.008689334,0.00868939
0.007911715,0.007911933,0.552978318,0.00791172,0.007911711,0.007913481,0.383724127,0.007911812,0.007911735,0.00791345
0.006534935,0.006534933,0.006534935,0.006534934,0.006534933,0.006534932,0.941185493,0.006534934,0.006535011,0.00653496
0.008517572,0.008517555,0.00851776,0.008517556,0.008517556,0.008517628,0.923341561,0.008517556,0.008517701,0.008517556
0.010037611,0.010038132,0.010037611,0.01003761,0.010037609,0.010038052,0.909660544,0.01003761,0.010037609,0.01003761
0.006114251,0.006114249,0.006114251,0.006114258,0.00611425,0.006114249,0.94497174,0.006114251,0.00611425,0.006114251
0.007519315,0.007519312,0.007519315,0.007519314,0.007519314,0.007519328,0.932326154,0.007519314,0.007519313,0.007519321
0.008226588,0.008226617,0.008226566,0.008226566,0.008226564,0.008226563,0.92596078,0.008226565,0.008226564,0.008226627
0.007207245,0.007207233,0.007207299,0.007207244,0.007207233,0.007208452,0.935132621,0.007207233,0.007207233,0.007208207
0.007516625,0.007516624,0.007516625,0.007516625,0.007516624,0.007516661,0.932350344,0.007516625,0.007516624,0.007516624
0.006376232,0.006376425,0.006376232,0.006376265,0.006377834,0.006376643,0.942611637,0.006376261,0.006376235,0.006376234
0.006715237,0.006715235,0.006715237,0.006715237,0.006715236,0.006715243,0.939562867,0.006715236,0.006715236,0.006715236
0.008018149,0.008018147,0.008018149,0.008018148,0.008018148,0.008018147,0.927836668,0.008018148,0.008018148,0.00801815
0.006511425,0.006511452,0.006511425,0.006511425,0.006511424,0.006511422,0.941397023,0.006511424,0.006511424,0.006511555
0.008616785,0.008616784,0.008616785,0.008616785,0.008616784,0.008616782,0.922448944,0.008616784,0.008616783,0.008616784
0.007266968,0.007266991,0.007266968,0.007266968,0.007266967,0.007267004,0.934597215,0.007266968,0.007266984,0.007266968
0.006712428,0.006712425,0.006712428,0.006712428,0.006712427,0.006712586,0.939587939,0.006712462,0.006712426,0.006712451
0.006776544,0.006776544,0.006776543,0.006776543,0.006776543,0.006776701,0.939010953,0.006776543,0.006776543,0.006776543
0.007215278,0.007215276,0.007215278,0.007215278,0.007215277,0.007215276,0.935062506,0.007215278,0.007215277,0.007215277
0.008491899,0.008491958,0.008491899,0.008491898,0.008491898,0.008491897,0.923572508,0.008492248,0.008491897,0.008491898
0.007701379,0.007701374,0.007701392,0.007701381,0.007701419,0.007701611,0.930687268,0.007701377,0.007701389,0.007701409
0.008330128,0.00833026,0.008330127,0.008330128,0.074832733,0.008330266,0.858525976,0.00833013,0.008330126,0.008330126
0.009951659,0.009951682,0.009951659,0.009951658,0.086874493,0.009951652,0.833512226,0.009951659,0.009951656,0.009951657
0.00788843,0.007888499,0.007888509,0.00788846,0.007924568,0.007888776,0.3526041,0.58425164,0.007888539,0.007888479
0.009273637,0.122740531,0.009273637,0.009273637,0.009273694,0.009273635,0.803069745,0.009274214,0.009273635,0.009273636
0.007133393,0.007133711,0.007133392,0.007133392,0.007133415,0.007133404,0.935799101,0.007133392,0.007133408,0.007133392
0.007223513,0.007223514,0.007223513,0.007223521,0.007223512,0.007223511,0.934988124,0.007223769,0.007223512,0.007223512
0.007200065,0.007203932,0.007200081,0.007200064,0.007200062,0.007200139,0.478667085,0.463728355,0.007200153,0.007200063
0.007739086,0.007739082,0.007739083,0.007739083,0.007739083,0.007739118,0.930348217,0.007739083,0.007739082,0.007739083
0.007964928,0.007965141,0.007964928,0.007964928,0.007964927,0.007965045,0.928302776,0.007977473,0.007964926,0.007964927
0.009679566,0.009679677,0.009679566,0.009679565,0.009679564,0.009679561,0.912883771,0.009679564,0.009679566,0.0096796
0.00698425,0.006984248,0.00698425,0.00698425,0.006984249,0.006985171,0.937140742,0.006984292,0.006984299,0.006984249
0.008950781,0.008950004,0.008950007,0.008950007,0.008950006,0.008954815,0.919444335,0.008950007,0.008950005,0.008950033
0.009058496,0.009058493,0.009058496,0.009058515,0.009058495,0.009058623,0.918473185,0.009058495,0.009058707,0.009058495
0.007665757,0.007665754,0.007665757,0.00766576,0.007665756,0.007665788,0.931007376,0.007665756,0.007665755,0.00766654
0.006485405,0.006485389,0.006485391,0.00648539,0.00648539,0.006485389,0.941630936,0.00648539,0.006485929,0.00648539
0.009180666,0.009180662,0.009180666,0.009180666,0.009180769,0.009180661,0.917373906,0.009180665,0.009180674,0.009180665
0.007524463,0.007524462,0.007524463,0.007524463,0.007524462,0.007524461,0.93227984,0.007524463,0.007524462,0.007524462
0.007257268,0.007257351,0.007257267,0.007257267,0.007257289,0.007257317,0.934684435,0.007257273,0.007257266,0.007257267
0.006888946,0.006889062,0.006888946,0.006888946,0.006888961,0.006888944,0.937999361,0.006888945,0.006888945,0.006888945
0.007603565,0.007603563,0.007603565,0.007603565,0.007603564,0.007603562,0.931567919,0.007603564,0.007603564,0.007603569
0.009122992,0.009123022,0.009122991,0.009122991,0.00912299,0.009123014,0.917893026,0.009122991,0.009122991,0.009122991
0.006273661,0.006274088,0.006273663,0.006273664,0.006274433,0.006274405,0.943534944,0.006273738,0.006273695,0.006273709
0.006146178,0.006146186,0.006146178,0.006146177,0.006146177,0.006146177,0.944684397,0.006146177,0.006146177,0.006146177
0.005404123,0.005404169,0.005404123,0.005404123,0.005404166,0.00540417,0.951362651,0.005404131,0.00540421,0.005404135
0.006263213,0.006263211,0.0062633,0.006263212,0.006263212,0.006263288,0.943630342,0.006263424,0.006263343,0.006263455
0.004491113,0.004491128,0.004491123,0.004491114,0.004491205,0.004491197,0.959579656,0.00449112,0.004491234,0.004491111
0.003677767,0.003678218,0.003677801,0.003677778,0.003677807,0.003678356,0.966898894,0.003677786,0.003677811,0.003677781
0.005440714,0.005440687,0.005440688,0.005440689,0.005440705,0.005440701,0.951033739,0.005440702,0.005440687,0.005440687
0.004352842,0.00435282,0.004352803,0.004352803,0.004352804,0.004353009,0.960824484,0.004352825,0.004352802,0.004352808
0.00536788,0.005368441,0.00536788,0.005367922,0.005367879,0.005367892,0.951688436,0.00536789,0.0053679,0.005367879
0.007129084,0.007129081,0.007129084,0.007129084,0.007129083,0.007129081,0.935838256,0.007129083,0.007129082,0.007129083
0.005113284,0.005113289,0.005113284,0.005113287,0.005113282,0.005113336,0.953980376,0.005113283,0.005113282,0.005113297
0.004237848,0.004237821,0.004237813,0.004237813,0.004237851,0.004237829,0.961859513,0.004237835,0.004237811,0.004237865
0.003730938,0.00373094,0.003730938,0.003730938,0.003731305,0.003730944,0.966421178,0.003730939,0.003730937,0.003730943
0.003555362,0.003555349,0.003555354,0.003555349,0.00355536,0.003555355,0.968001773,0.003555362,0.003555351,0.003555383
0.005983035,0.005983036,0.005983035,0.005983035,0.005983034,0.005983048,0.946152661,0.005983049,0.005983033,0.005983034
0.006435952,0.00643596,0.006435952,0.006435951,0.006435951,0.006435951,0.942076429,0.006435951,0.006435951,0.006435952
0.005546284,0.005546284,0.005546284,0.005546284,0.005546284,0.005546284,0.950083445,0.005546284,0.005546284,0.005546284
0.004622209,0.004622209,0.004622209,0.004622209,0.004622209,0.00462222,0.958400106,0.004622209,0.004622209,0.004622209
0.006636406,0.006636426,0.006636406,0.00663641,0.006636406,0.006636417,0.468847704,0.478060979,0.006636432,0.006636414
0.003859557,0.003859641,0.003859557,0.003859557,0.003859602,0.003859621,0.965263694,0.003859634,0.003859577,0.003859559
0.004621242,0.004621451,0.004621215,0.004621223,0.004621214,0.004621314,0.958408604,0.004621238,0.004621236,0.004621263
0.522485552,0.006988998,0.006988998,0.006988999,0.006988998,0.006989006,0.421602455,0.006988998,0.006988998,0.006988998
0.006457674,0.006459304,0.006457673,0.006457673,0.006457675,0.006457677,0.941879299,0.006457679,0.006457674,0.006457673
0.008665168,0.008665167,0.008665168,0.008665168,0.008665846,0.008665167,0.922012812,0.008665168,0.008665168,0.008665168
0.007345908,0.007345907,0.007345907,0.007345907,0.007345907,0.007345907,0.933886836,0.007345907,0.007345907,0.007345907
0.006605745,0.572693891,0.006605746,0.006605748,0.006605745,0.006605756,0.374460128,0.006605745,0.006605751,0.006605745
0.009799113,0.009799112,0.009799113,0.009799113,0.009799113,0.009799112,0.911807984,0.009799113,0.009799113,0.009799113
0.007593867,0.007593867,0.007593867,0.007593867,0.00759393,0.007593867,0.931655135,0.007593867,0.007593867,0.007593867
0.009405343,0.009405342,0.009405343,0.009405343,0.009405342,0.009405341,0.91535192,0.009405342,0.009405342,0.009405342
0.007690009,0.007690054,0.007690009,0.007690012,0.007690026,0.007690112,0.464017015,0.007690009,0.007690014,0.474462741
0.008295786,0.008295786,0.008295786,0.008295786,0.008295786,0.008295945,0.925337767,0.008295786,0.008295786,0.008295786
0.008307998,0.008307997,0.008307998,0.008307998,0.008308474,0.008307997,0.925227546,0.008307998,0.008307997,0.008307998
0.008375445,0.352417048,0.008375445,0.008375445,0.00837564,0.008375557,0.580578892,0.008375444,0.008375608,0.008375476
0.006976942,0.006977018,0.006976942,0.006976947,0.445013825,0.006976941,0.499170449,0.006976942,0.006976958,0.006977036
0.008174823,0.008174823,0.008174823,0.008174823,0.008174823,0.008174823,0.926426566,0.008174851,0.008174823,0.008174823
0.006821973,0.006821972,0.006821973,0.006821973,0.43929768,0.006821971,0.506126529,0.006821985,0.006821972,0.006821973
0.008653831,0.00865383,0.00865383,0.00865383,0.00865383,0.00865383,0.922115527,0.00865383,0.00865383,0.00865383
0.009928503,0.473430435,0.009928503,0.009928503,0.009928502,0.009928502,0.447141542,0.009928504,0.009928502,0.009928503
0.011287847,0.476624217,0.011287864,0.011287847,0.011288012,0.011287998,0.433072495,0.011288021,0.011287852,0.011287847
0.007987039,0.007993779,0.007987039,0.007987045,0.528706667,0.007987051,0.407390262,0.007987039,0.00798704,0.007987039
0.009266066,0.009266092,0.009266066,0.009266066,0.009267605,0.009266542,0.916603366,0.009266066,0.009266065,0.009266066
0.009920075,0.473288803,0.009920075,0.009920075,0.009920083,0.009920106,0.447350404,0.009920153,0.009920077,0.009920149
0.008543383,0.445708167,0.008543383,0.008543383,0.008543406,0.008543516,0.485943924,0.008543399,0.008543545,0.008543895
0.008096534,0.492871284,0.008096559,0.008096539,0.008096671,0.008096983,0.442352425,0.008099618,0.008096678,0.008096709
0.008942229,0.00897053,0.008942229,0.008942264,0.008942229,0.008945768,0.919488023,0.008942229,0.00894227,0.008942229
0.008804082,0.008804756,0.008804082,0.008804082,0.008804082,0.420919617,0.50864509,0.008804082,0.008805364,0.008804763
0.008498336,0.008498473,0.008498337,0.008498336,0.665622745,0.008498582,0.266389833,0.008498356,0.008498636,0.008498364
0.007987758,0.007987875,0.007987786,0.007987758,0.617734095,0.007987882,0.318362306,0.0079883,0.00798847,0.00798777
0.008088142,0.008088148,0.008088142,0.008088142,0.008088156,0.008088155,0.368925884,0.566368441,0.008088647,0.008088142
0.007659929,0.007659943,0.00766011,0.00765993,0.007659928,0.610436844,0.328283438,0.00765993,0.007659929,0.007660018
0.007749312,0.007749311,0.007749311,0.007749311,0.007749311,0.007749311,0.930256198,0.007749311,0.007749311,0.007749311
0.008414471,0.008414485,0.008414471,0.008414471,0.493170786,0.008414471,0.439513432,0.008414471,0.008414471,0.008414471
0.007945135,0.007945133,0.007945135,0.007945134,0.007945134,0.00794518,0.928493748,0.007945134,0.007945134,0.007945134
0.008908521,0.008909226,0.008908521,0.008908521,0.008908524,0.008908935,0.559435657,0.008908521,0.008909121,0.369294454
0.007656149,0.007656259,0.457823979,0.007656166,0.00766514,0.007656536,0.480916984,0.00765616,0.007656473,0.007656154
0.006028866,0.006030207,0.006028882,0.006028866,0.006028909,0.006029259,0.370623021,0.006028896,0.581141485,0.00603161
0.007146902,0.00714762,0.007146902,0.007146902,0.007146902,0.007147124,0.935675401,0.007146902,0.007147626,0.007147717
0.006726998,0.006729408,0.006727028,0.006726998,0.006727436,0.006732071,0.474994636,0.006728174,0.471180102,0.00672715
0.008714508,0.008714529,0.008714602,0.008714508,0.008714507,0.008714514,0.380966596,0.008714507,0.008714891,0.549316838
0.00969313,0.563024619,0.00969313,0.00969313,0.009693178,0.009693128,0.359426206,0.009693135,0.009693977,0.009696367
0.006764825,0.006764877,0.006764827,0.006764827,0.006764885,0.00676485,0.365250952,0.00676519,0.58062994,0.006764826
0.007585181,0.007585181,0.007585181,0.007585181,0.007585553,0.007585181,0.931732385,0.007585181,0.007585794,0.007585181
0.006862569,0.006862709,0.006862569,0.006862569,0.006865061,0.006867714,0.938229069,0.006862568,0.006862584,0.006862588
0.007773028,0.00777308,0.007773027,0.007773035,0.007773042,0.007773029,0.930042679,0.007773027,0.007773026,0.007773027
0.006308509,0.006308515,0.006308509,0.006308508,0.006308507,0.006308668,0.94322326,0.006308508,0.006308507,0.006308508
0.006737681,0.006737681,0.006737681,0.006737681,0.006737681,0.006738447,0.939360105,0.006737681,0.006737681,0.006737681
0.008141627,0.008141676,0.008141626,0.008141625,0.008142293,0.195249128,0.739616678,0.00814165,0.008142074,0.008141623
0.00641047,0.006410761,0.00641047,0.00641047,0.373407202,0.006411134,0.575308085,0.006410469,0.006410471,0.006410469
0.006175639,0.006175713,0.006175642,0.006175639,0.006175656,0.111055109,0.839539604,0.00617564,0.006175706,0.006175652
0.0086179,0.008617901,0.0086179,0.0086179,0.0086179,0.008618114,0.922438684,0.0086179,0.0086179,0.0086179
0.006632209,0.00663231,0.006632209,0.006632226,0.00663238,0.483114099,0.463827732,0.006632306,0.006632277,0.006632251
0.007599946,0.470730904,0.007599949,0.007599948,0.007599968,0.007600169,0.46846925,0.007599949,0.00759995,0.007599967
0.007901815,0.485130337,0.007901821,0.007901815,0.007901911,0.00790192,0.4516549,0.007901815,0.007901834,0.007901832
0.009913368,0.009915554,0.009913395,0.009913368,0.009913638,0.009930859,0.311685208,0.608987852,0.00991339,0.009913368
0.007612238,0.007612235,0.007612226,0.007612219,0.007612269,0.630046478,0.309055572,0.007612254,0.007612238,0.007612272
0.007533795,0.007533794,0.007533795,0.007533795,0.007533795,0.007536106,0.932193535,0.007533795,0.007533795,0.007533795
0.008639834,0.543336236,0.008639841,0.008639836,0.008639834,0.008640818,0.387544014,0.008639875,0.008639868,0.008639843
0.007970691,0.007970981,0.007970691,0.007970695,0.00797069,0.542406746,0.393827369,0.007970742,0.007970706,0.00797069
0.007154461,0.007154479,0.007154465,0.007154471,0.007154566,0.614371369,0.328392689,0.007154507,0.007154532,0.00715446
0.007162853,0.00716286,0.007162857,0.007162855,0.007162852,0.58197644,0.360720716,0.007162858,0.007162854,0.007162855
0.006534108,0.006534153,0.006534109,0.006534108,0.006534119,0.565636975,0.382090058,0.00653412,0.006534117,0.006534134
0.007463152,0.007463154,0.00746316,0.007463154,0.007463152,0.693638102,0.24665599,0.0074638,0.007463184,0.007463152
0.008865648,0.008865037,0.008865038,0.008865039,0.00886509,0.634114526,0.29496442,0.008865038,0.008865106,0.008865059
0.008180346,0.008180396,0.008180329,0.00818033,0.008180359,0.008195795,0.307512019,0.008183842,0.008180393,0.627026191
