P(topic 1),P(topic 2)
0.07637018193119571,0.9236298180688043
0.9534824872496711,0.0465175127503289
0.941723850262387,0.058276149737613
0.944130954596579,0.05586904540342103
0.9401768998346054,0.0598231001653946
0.9427197564601069,0.05728024353989311
0.9333416338777415,0.06665836612225855
0.9438259677724167,0.056174032227583374
0.9400637848028083,0.05993621519719167
0.9403597188456885,0.05964028115431148
0.9449271645036614,0.05507283549633852
0.9407632990075802,0.059236700992419844
0.9430119261025142,0.05698807389748583
0.9349570711808135,0.06504292881918641
0.13069164231183544,0.8693083576881645
0.9477637036881272,0.05223629631187278
0.9402895663398885,0.05971043366011148
0.9401965394014897,0.059803460598510244
0.9434588293580489,0.056541170641951057
0.9387409066244959,0.061259093375504094
0.9449919675674228,0.055008032432577264
0.9385880558239228,0.061411944176077114
0.9418851520644784,0.05811484793552151
0.9456519779318006,0.05434802206819942
0.2760192829963934,0.7239807170036067
0.9410329722693184,0.05896702773068164
0.9485468354198916,0.051453164580108394
0.9374657194238084,0.06253428057619152
0.9500180595271552,0.04998194047284478
0.9475815114101677,0.052418488589832314
0.9493243903010683,0.05067560969893163
0.948049157832284,0.05195084216771595
0.9375992735458124,0.06240072645418767
0.9459285873902072,0.054071412609792785
0.9502178687659653,0.04978213123403479
0.0802509365999108,0.9197490634000892
0.9377955741011308,0.0622044258988692
0.938628103209303,0.06137189679069702
0.926655076948608,0.07334492305139194
0.08677327675601156,0.9132267232439885
0.9437096980546151,0.05629030194538498
0.06652490423463879,0.9334750957653611
0.9339493895338339,0.06605061046616605
0.9359338804398428,0.06406611956015724
0.06863082169365306,0.9313691783063469
0.9375202819160967,0.06247971808390326
0.9313256214741987,0.0686743785258012
0.06491992996466527,0.9350800700353347
0.05482674611667885,0.9451732538833212
0.06826908906978732,0.9317309109302127
0.06035786328684856,0.9396421367131514
0.054683976731739206,0.9453160232682608
0.0600765527572204,0.9399234472427795
0.05492695966953447,0.9450730403304656
0.9354944785193734,0.06450552148062656
0.9300749967491052,0.06992500325089482
0.9330210964343836,0.06697890356561653
0.058893134049514774,0.9411068659504852
0.05908895719319168,0.9409110428068083
0.06374582611128693,0.9362541738887131
0.05710928458529461,0.9428907154147055
0.05375954956153554,0.9462404504384645
0.056786295243725346,0.9432137047562746
0.058784180016532656,0.9412158199834673
0.06776713870476285,0.9322328612952372
0.05707699086496634,0.9429230091350337
0.05784404610327931,0.9421559538967207
0.05628714382172114,0.9437128561782788
0.05468344944131811,0.9453165505586818
0.06224998271676919,0.9377500172832308
0.06090876858315679,0.9390912314168433
0.04991959473555248,0.9500804052644475
0.0598889966927273,0.9401110033072727
0.061013180627122014,0.938986819372878
0.06152007716783789,0.9384799228321622
0.05838714766240525,0.9416128523375947
0.9368927245029397,0.06310727549706027
0.9149141988203074,0.0850858011796925
0.9403346241254648,0.05966537587453533
0.04940232532939074,0.9505976746706092
0.04980207653121156,0.9501979234687885
